report_time_simple,report_time,지점,주소,사고원인,lon,lat,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
2020-10-06 18:00:00,2020-10-06 18:22:00,홍천,강원도 홍천군 내촌면 광암리 산93,기타산악,128.0792137,37.8611776,14,,,,1.7,,180,,53,,8.4,4.5,1004.9,,1021.6,,0.7,,,9,,,2,0,,,3793,,,16.9,,,,,
2020-10-06 18:00:00,2020-10-06 18:22:00,홍천,강원도 홍천군 두촌면 괘석리 503-6,일반조난,128.0886083,37.8661135,14,,,,1.7,,180,,53,,8.4,4.5,1004.9,,1021.6,,0.7,,,9,,,2,0,,,3793,,,16.9,,,,,
2020-10-06 18:00:00,2020-10-06 18:22:00,홍천,강원도 홍천군 내촌면 광암리 693-2,탈진·탈수,128.1005339,37.8588154,14,,,,1.7,,180,,53,,8.4,4.5,1004.9,,1021.6,,0.7,,,9,,,2,0,,,3793,,,16.9,,,,,
2020-12-02 10:00:00,2020-12-02 10:35:00,인제,강원도 인제군 북면 용대리 산76,개인질환,128.3651816,38.1886627,0.6,,,,0.8,,230,,59,,3.8,-6.5,1007,,1032.5,,0,,,9,,,10,6,,16,5009,,,3.6,,,,,
2020-12-02 10:00:00,2020-12-02 10:35:00,인제,강원도 인제군 북면 용대리 산76,개인질환,128.3651816,38.1886627,0.6,,,,0.8,,230,,59,,3.8,-6.5,1007,,1032.5,,0,,,9,,,10,6,,16,5009,,,3.6,,,,,
2020-08-23 00:00:00,2020-08-23 00:00:00,인제,강원도 인제군 북면 한계리 95,일반조난,128.3101926,38.1219556,20.4,,0.6,,0.2,,0,,96,,22.9,19.7,988.1,,1011.3,,,9,,9,,,8,1,,,5009,,,21.6,,,,,
2020-08-23 00:00:00,2020-08-23 00:00:00,인제,강원도 인제군 북면 한계리 95,저체온증,128.3101926,38.1219556,20.4,,0.6,,0.2,,0,,96,,22.9,19.7,988.1,,1011.3,,,9,,9,,,8,1,,,5009,,,21.6,,,,,
2020-08-23 00:00:00,2020-08-23 00:00:00,인제,강원도 인제군 북면 한계리 95,저체온증,128.3101926,38.1219556,20.4,,0.6,,0.2,,0,,96,,22.9,19.7,988.1,,1011.3,,,9,,9,,,8,1,,,5009,,,21.6,,,,,
2020-09-26 11:00:00,2020-09-26 11:03:00,강릉,강원도 강릉시 강동면 언별리 1425,실족추락,128.9164446,37.6724543,19.7,,,9,4.2,,360,,72,,16.5,14.5,1015.4,,1018.6,,0.2,,1.76,,,,8,3,,6,4401,,,25.2,,19.5,19.3,19.3,19.5
2020-09-26 11:00:00,2020-09-26 11:03:00,강릉,강원도 강릉시 강동면 언별리 1425,실족추락,128.9164446,37.6724543,19.7,,,9,4.2,,360,,72,,16.5,14.5,1015.4,,1018.6,,0.2,,1.76,,,,8,3,,6,4401,,,25.2,,19.5,19.3,19.3,19.5
2020-10-24 12:00:00,2020-10-24 12:08:00,속초,강원도 속초시 설악동 설악동 197-2,실족추락,128.4849533,38.1626862,14.3,,,,3.1,,320,,17,,2.8,-10.4,1012,,1014.1,,1,,,9,,,0,0,,,2000,,,29.4,,,,,
2020-10-24 12:00:00,2020-10-24 12:08:00,속초,강원도 속초시 설악동 설악동 197-2,기타산악,128.4849533,38.1626862,14.3,,,,3.1,,320,,17,,2.8,-10.4,1012,,1014.1,,1,,,9,,,0,0,,,2000,,,29.4,,,,,
2020-10-05 15:00:00,2020-10-05 15:16:00,인제,강원도 인제군 기린면 방동리,기타산악,128.4038892,37.9220961,17.1,,,,3.2,,180,,37,,7.2,2.2,991.4,,1014.9,,1,,,9,,,0,0,,,5009,,,30.2,,,,,
2020-10-09 14:00:00,2020-10-09 14:06:00,인제,강원도 인제군 북면 용대리 산77,개인질환,128.3651816,38.1886627,20.2,,,,2.6,,50,,47,,11.1,8.5,1001.3,,1024.8,,0.9,,,9,,,9,7,,15,5009,,,38.7,,,,,
2020-10-09 14:00:00,2020-10-09 14:06:00,인제,강원도 인제군 북면 용대리 산77,탈진·탈수,128.3651816,38.1886627,20.2,,,,2.6,,50,,47,,11.1,8.5,1001.3,,1024.8,,0.9,,,9,,,9,7,,15,5009,,,38.7,,,,,
2020-01-05 20:00:00,2020-01-05 20:09:00,춘천,강원도 춘천시 남산면 강촌리 432-9,기타산악,127.6162162,37.7971825,-0.6,,,,0.8,,320,,66,,3.9,-6.1,1021.9,,1031.6,,,9,,9,,,,,,,876,,,-0.7,,-0.6,-0.6,0.2,1
2020-01-05 20:00:00,2020-01-05 20:09:00,춘천,강원도 춘천시 남산면 강촌리 432-9,기타산악,127.6162162,37.7971825,-0.6,,,,0.8,,320,,66,,3.9,-6.1,1021.9,,1031.6,,,9,,9,,,,,,,876,,,-0.7,,-0.6,-0.6,0.2,1
2020-01-05 20:00:00,2020-01-05 20:09:00,춘천,강원도 춘천시 남산면 강촌리 432-9,일반조난,127.6162162,37.7971825,-0.6,,,,0.8,,320,,66,,3.9,-6.1,1021.9,,1031.6,,,9,,9,,,,,,,876,,,-0.7,,-0.6,-0.6,0.2,1
2020-01-05 20:00:00,2020-01-05 20:09:00,춘천,강원도 춘천시 남산면 강촌리 432-9,기타산악,127.6162162,37.7971825,-0.6,,,,0.8,,320,,66,,3.9,-6.1,1021.9,,1031.6,,,9,,9,,,,,,,876,,,-0.7,,-0.6,-0.6,0.2,1
2020-02-23 13:00:00,2020-02-23 13:03:00,속초,강원도 속초시 설악동 설악동 산40,개인질환,128.4849533,38.1626862,9.5,,,,1.4,,250,,20,,2.4,-12.4,1022.7,,1024.9,,1,,,9,,,0,0,,,2000,,,15,,,,,
2020-02-23 13:00:00,2020-02-23 13:03:00,속초,강원도 속초시 설악동 설악동 산40,개인질환,128.4849533,38.1626862,9.5,,,,1.4,,250,,20,,2.4,-12.4,1022.7,,1024.9,,1,,,9,,,0,0,,,2000,,,15,,,,,
2020-07-12 19:00:00,2020-07-12 19:22:00,인제,강원도 인제군 상남면 상남리 1241-6,개인질환,128.2199006,37.8624543,20.9,,,,1.7,,50,,71,,17.5,15.4,987.2,,1010.3,,0,,,9,,,,,,,2626,,,22.8,,,,,
2020-08-13 12:00:00,2020-08-13 12:09:00,속초,강원도 속초시 설악동 설악동 216,기타산악,128.4849533,38.1626862,34.6,,,,1.5,,200,,48,,26.3,21.9,1006.4,,1008.3,,1,,,9,,,4,,,,2000,,,39,,,,,
2020-10-19 12:00:00,2020-10-19 12:16:00,인제,강원도 인제군 북면 용대리 산77,실족추락,128.3651816,38.1886627,16.9,,,,2.2,,160,,58,,11.1,8.5,1001.1,,1024.9,,1,,,9,,,0,0,,,4464,,,29.5,,,,,
2020-10-31 15:00:00,2020-10-31 15:33:00,인제,강원도 인제군 북면 용대리 산72,기타산악,128.3651816,38.1886627,16.1,,,,2.9,,180,,41,,7.5,2.8,998.5,,1022.3,,0.8,,,9,,,,0,,,3849,,,21.5,,,,,
2020-01-05 13:00:00,2020-01-05 13:34:00,인제,강원도 인제군 북면 용대리 산12-21,실족추락,128.3651816,38.1886627,5,,,,2.1,,140,,35,,3,-9.2,1005.3,,1030.4,,1,,,9,,,0,0,,,5010,,,6.3,,,,,
2020-01-05 13:00:00,2020-01-05 13:34:00,인제,강원도 인제군 북면 용대리 산12-21,실족추락,128.3651816,38.1886627,5,,,,2.1,,140,,35,,3,-9.2,1005.3,,1030.4,,1,,,9,,,0,0,,,5010,,,6.3,,,,,
2020-01-05 13:00:00,2020-01-05 13:34:00,인제,강원도 인제군 북면 용대리 산12-21,기타산악,128.3651816,38.1886627,5,,,,2.1,,140,,35,,3,-9.2,1005.3,,1030.4,,1,,,9,,,0,0,,,5010,,,6.3,,,,,
2020-02-03 19:00:00,2020-02-03 19:38:00,원주,강원도 원주시 흥업면 대안리 2058,일반조난,127.8881136,37.2662912,1.2,,,9,1.7,,230,,35,,2.3,-12.6,1008.2,,1027.1,,,9,,9,,,0,0,,,2000,,,0,,,,,
